BFS_2017,Gemeinde_2017,GSB17_Teilnahme,FDP,CVP,CSP,SVP,SP,BDP,EVP,EDU,GLP,Grüne,Lega,parteilos,verschiedene,m,w
1,Aeugst am Albis,1,3,0,0,0,0,0,0,0,0,0,0,4,0,4,3
2,Affoltern am Albis,1,2,0,0,2,1,0,0,0,0,0,0,2,0,6,1
3,Bonstetten,1,2,0,0,2,0,0,0,0,0,0,0,2,0,5,1
4,Hausen am Albis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Hedingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Kappel am Albis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Knonau,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,Maschwanden,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
9,Mettmenstetten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Obfelden,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Ottenbach,1,1,0,0,1,0,0,0,0,1,0,0,2,0,4,1
12,Rifferswil,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Stallikon,1,2,0,0,1,0,0,0,0,0,0,0,3,0,3,3
14,Wettswil am Albis,1,2,0,0,0,0,0,0,0,0,0,0,3,0,4,1
21,Adlikon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Benken (ZH),1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2
23,Berg am Irchel,1,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1
24,Buch am Irchel,1,0,0,0,1,0,0,0,0,0,0,0,4,0,4,1
25,Dachsen,1,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0
26,Dorf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Feuerthalen,1,2,0,0,2,1,0,0,0,0,0,0,2,0,6,1
28,Flaach,1,1,0,0,1,0,0,0,0,0,0,0,3,0,5,0
29,Flurlingen,1,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1
30,Andelfingen,1,1,0,0,1,0,0,0,0,0,0,0,0,3,5,0
31,Henggart,1,1,0,0,1,0,0,0,0,0,0,0,4,0,5,1
32,Humlikon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Kleinandelfingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Laufen-Uhwiesen,1,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2
35,Marthalen,1,0,0,0,6,0,0,0,0,0,0,0,0,2,4,4
36,Oberstammheim,1,1,0,0,2,0,0,0,0,0,0,0,3,0,5,1
37,Ossingen,1,2,0,0,1,0,1,0,0,0,0,0,1,0,4,1
38,Rheinau,1,1,1,0,0,3,0,0,0,0,0,0,1,0,5,1
39,Thalheim an der Thur,1,2,0,0,0,0,0,0,0,0,0,0,14,0,8,8
40,Trüllikon,1,0,0,0,1,0,1,0,0,0,0,0,4,0,4,2
41,Truttikon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Unterstammheim,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Volken,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0
44,Waltalingen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Bachenbülach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Bassersdorf,1,4,1,0,1,0,0,0,0,0,0,0,1,0,6,1
53,Bülach,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Dietlikon,1,1,0,0,2,1,0,0,0,1,0,0,0,1,3,3
55,Eglisau,1,1,0,0,2,0,0,0,0,0,0,0,2,1,3,3
56,Embrach,1,2,2,0,1,1,0,0,0,0,0,0,0,0,4,2
57,Freienstein-Teufen,1,0,0,0,2,0,0,0,0,0,0,0,3,0,3,2
