BFS;BEZ;REG;Aggl;Staedte;ObWin;HR;BFS;Gemeinden;Bev2020
1;1;3;261;0;30;4;1;Aeugst a.A.;2011
2;1;3;261;1;30;2;2;Affoltern a.A.;12246
3;1;3;261;0;30;3;3;Bonstetten;5610
4;1;3;261;0;30;4;4;Hausen a.A.;3797
5;1;3;261;0;30;2;5;Hedingen;3793
6;1;3;0;0;30;4;6;Kappel a.A.;1244
7;1;3;1711;0;30;3;7;Knonau;2368
8;1;3;261;0;30;4;8;Maschwanden;636
9;1;3;261;0;30;3;9;Mettmenstetten;5378
10;1;3;261;0;30;3;10;Obfelden;5778
11;1;3;261;0;30;3;11;Ottenbach;2706
12;1;3;261;0;30;4;12;Rifferswil;1149
13;1;3;261;0;30;4;13;Stallikon;3785
14;1;3;261;0;30;3;14;Wettswil a.A.;5278
21;2;10;0;0;100;3;21;Adlikon;689
22;2;10;0;0;100;4;22;Benken;851
23;2;10;261;0;100;4;23;Berg a.I.;595
24;2;10;0;0;100;5;24;Buch a.I.;1022
25;2;10;0;0;100;4;25;Dachsen;1912
26;2;10;0;0;100;4;26;Dorf;665
27;2;10;2939;0;100;2;27;Feuerthalen;3700
28;2;10;0;0;100;4;28;Flaach;1427
29;2;10;2939;0;100;2;29;Flurlingen;1556
30;2;10;0;0;100;3;30;Andelfingen;2227
31;2;10;0;0;100;3;31;Henggart;2294
32;2;10;0;0;100;3;32;Humlikon;484
33;2;10;0;0;100;3;33;Kleinandelfingen;2105
34;2;10;2939;0;100;4;34;Laufen-Uhwiesen;1780
35;2;10;0;0;100;4;35;Marthalen;1929
37;2;10;0;0;100;4;37;Ossingen;1726
38;2;10;0;0;100;4;38;Rheinau;1291
39;2;10;0;0;100;4;39;Thalheim a.d.Th.;953
40;2;10;0;0;100;4;40;Trüllikon;1055
41;2;10;0;0;100;4;41;Truttikon;450
43;2;10;0;0;100;4;43;Volken;383
51;3;11;261;0;110;2;51;Bachenbülach;4203
52;3;6;261;1;60;1;52;Bassersdorf;11931
53;3;11;261;1;110;2;53;Bülach;21973
54;3;6;261;0;60;1;54;Dietlikon;7867
55;3;11;261;0;110;5;55;Eglisau;5499
56;3;11;261;0;110;3;56;Embrach;9600
57;3;11;261;0;110;3;57;Freienstein-Teufen;2398
58;3;11;261;0;110;4;58;Glattfelden;5273
59;3;11;261;0;110;3;59;Hochfelden;2019
60;3;11;261;0;110;2;60;Höri;2957
61;3;11;261;0;110;4;61;Hüntwangen;1066
62;3;6;261;1;60;1;62;Kloten;20365
63;3;11;261;0;110;4;63;Lufingen;2561
64;3;6;261;0;60;4;64;Nürensdorf;5616
