BFS;Gemeinden
1;Aeugst a.A.
2;Affoltern a.A.
3;Bonstetten
4;Hausen a.A.
5;Hedingen
6;Kappel a.A.
7;Knonau
8;Maschwanden
9;Mettmenstetten
10;Obfelden
11;Ottenbach
12;Rifferswil
13;Stallikon
14;Wettswil a.A.
21;Adlikon
22;Benken
23;Berg a.I.
24;Buch a.I.
25;Dachsen
26;Dorf
27;Feuerthalen
28;Flaach
29;Flurlingen
30;Andelfingen
31;Henggart
32;Humlikon
33;Kleinandelfingen
34;Laufen-Uhwiesen
35;Marthalen
37;Ossingen
38;Rheinau
39;Thalheim a.d.Th.
40;Trüllikon
41;Truttikon
43;Volken
51;Bachenbülach
52;Bassersdorf
53;Bülach
54;Dietlikon
55;Eglisau
56;Embrach
57;Freienstein-Teufen
58;Glattfelden
59;Hochfelden
60;Höri
61;Hüntwangen
62;Kloten
63;Lufingen
64;Nürensdorf
65;Oberembrach
66;Opfikon
67;Rafz
68;Rorbas
69;Wallisellen
70;Wasterkingen
71;Wil
72;Winkel
81;Bachs
82;Boppelsen
83;Buchs
84;Dällikon
85;Dänikon
86;Dielsdorf
87;Hüttikon
88;Neerach
89;Niederglatt
90;Niederhasli
91;Niederweningen
92;Oberglatt
93;Oberweningen
94;Otelfingen
95;Regensberg
96;Regensdorf
97;Rümlang
98;Schleinikon
99;Schöfflisdorf
100;Stadel
101;Steinmaur
102;Weiach
111;Bäretswil
112;Bubikon
113;Dürnten
114;Fischenthal
115;Gossau
116;Grüningen
117;Hinwil
118;Rüti
119;Seegräben
120;Wald
121;Wetzikon
131;Adliswil
135;Kilchberg
136;Langnau a.A.
137;Oberrieden
138;Richterswil
139;Rüschlikon
141;Thalwil
151;Erlenbach
152;Herrliberg
153;Hombrechtikon
154;Küsnacht
155;Männedorf
156;Meilen
157;Oetwil a.S.
158;Stäfa
159;Uetikon a.S.
160;Zumikon
161;Zollikon
172;Fehraltorf
173;Hittnau
176;Lindau
177;Pfäffikon
178;Russikon
180;Weisslingen
181;Wila
182;Wildberg
191;Dübendorf
192;Egg
193;Fällanden
194;Greifensee
195;Maur
196;Mönchaltorf
197;Schwerzenbach
198;Uster
199;Volketswil
200;Wangen-Brüttisellen
211;Altikon
213;Brütten
214;Dägerlen
215;Dättlikon
216;Dinhard
218;Ellikon a.d.Th.
219;Elsau
220;Hagenbuch
221;Hettlingen
223;Neftenbach
224;Pfungen
225;Rickenbach
226;Schlatt
227;Seuzach
228;Turbenthal
230;Winterthur
231;Zell
241;Aesch
242;Birmensdorf
243;Dietikon
244;Geroldswil
245;Oberengstringen
246;Oetwil a.d.L.
247;Schlieren
248;Uitikon
249;Unterengstringen
250;Urdorf
251;Weiningen
261;Zürich
292;Stammheim
293;Wädenswil
294;Elgg
295;Horgen
296;Illnau-Effretikon
297;Bauma
298;Wiesendangen
