GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2024;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
845200P;Adlikon, Politische Gemeinde;BFS-Nr. / SGEM;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21;21
813400PS;Adliswil, Stadt;BFS-Nr. / SGEM;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131;131
890400P;Aesch, Politische Gemeinde;BFS-Nr. / SGEM;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241;241
891400PP;Aeugst a.A., Politische Gemeinde;BFS-Nr. / SGEM;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
891400P;Aeugst a.A., Politische Gemeinde (bis 2020);BFS-Nr. / SGEM;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
891000PP;Affoltern a.A., Stadt;BFS-Nr. / SGEM;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
847900PP;Altikon, Politische Gemeinde;BFS-Nr. / SGEM;211;211;211;211;211;211;211;211;211;211;211;211;211;211;211;211;211;211;211;211;211;211;211;;;;;;;;;;;;
845000P;Andelfingen, Politische Gemeinde;BFS-Nr. / SGEM;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
818400P;Bachenbülach, Politische Gemeinde;BFS-Nr. / SGEM;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51;51
816400P;Bachs, Politische Gemeinde;BFS-Nr. / SGEM;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81
834400PS;Bäretswil, Politische Gemeinde;BFS-Nr. / SGEM;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;111;;;;;;;;;;;;;
830300PS;Bassersdorf, Politische Gemeinde;BFS-Nr. / SGEM;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;52;;;;;;;;;;;;;;;;;
849401PS;Bauma, Politische Gemeinde;BFS-Nr. / SGEM;297;297;297;297;297;297;297;297;297;297;;;;;;;;;;;;;;;;;;;;;;;;;
846300P;Benken, Politische Gemeinde;BFS-Nr. / SGEM;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22
841500P;Berg a.I., Politische Gemeinde;BFS-Nr. / SGEM;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23;23
890300P;Birmensdorf, Politische Gemeinde;BFS-Nr. / SGEM;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242;242
890600PP;Bonstetten, Politische Gemeinde;BFS-Nr. / SGEM;3;3;3;3;3;3;3;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;
811300P;Boppelsen, Politische Gemeinde;BFS-Nr. / SGEM;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82;82
831100PS;Brütten, Politische Gemeinde;BFS-Nr. / SGEM;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;213;;;;;;;;
860800PS;Bubikon, Politische Gemeinde;BFS-Nr. / SGEM;112;112;112;112;112;112;112;;;;;;;;;;;;;;;;;;;;;;;;;;;;
841400P;Buch a.I., Politische Gemeinde;BFS-Nr. / SGEM;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24;24
810700PP;Buchs, Politische Gemeinde;BFS-Nr. / SGEM;83;83;83;83;83;83;83;83;;;;;;;;;;;;;;;;;;;;;;;;;;;
818000PP;Bülach, Stadt;BFS-Nr. / SGEM;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53;53
844700P;Dachsen, Politische Gemeinde;BFS-Nr. / SGEM;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25;25
847100P;Dägerlen, Politische Gemeinde;BFS-Nr. / SGEM;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214;214
810800PP;Dällikon, Politische Gemeinde;BFS-Nr. / SGEM;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;84;;;;;;;;;;;
811400P;Dänikon, Politische Gemeinde;BFS-Nr. / SGEM;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85;85
842100PS;Dättlikon, Politische Gemeinde;BFS-Nr. / SGEM;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;215;;;;;;;;;;;;;;;;
815700P;Dielsdorf, Politische Gemeinde;BFS-Nr. / SGEM;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86;86
895300PS;Dietikon, Stadt;BFS-Nr. / SGEM;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243;243
830500P;Dietlikon, Politische Gemeinde;BFS-Nr. / SGEM;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;54;;;;;;;54;54;54;54;54;54;54;54;54;54;54
847400PP;Dinhard, Politische Gemeinde;BFS-Nr. / SGEM;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;216;;;;;;;;;;;;;;;;
845800P;Dorf, Politische Gemeinde;BFS-Nr. / SGEM;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26
