"Gemeindenamen","BFS-Nr.","Listen-Nr.","Liste","Wahlkreis-Nr.","Wahlkreis","Stimmen","Stimmenanteil","+/- (Stimmenanteil)","Stimmenzusatz","Wähler","Wähleranteil","+/- (Wähleranteil)","Stimmenanteil 2015","Wähleranteil 2015"
"Adlikon","21","1","SVP","16","Wahlkreis XVI, Andelfingen","468","55.98","-6.21","8","117","55.98","-6.21","62.19","62.19"
"Adlikon","21","2","SP","16","Wahlkreis XVI, Andelfingen","39","4.67","-0.19","0","10","4.67","-0.19","4.85","4.85"
"Adlikon","21","3","FDP","16","Wahlkreis XVI, Andelfingen","106","12.68","1.73","0","27","12.68","1.73","10.95","10.95"
"Adlikon","21","4","GLP","16","Wahlkreis XVI, Andelfingen","36","4.31","2.94","0","9","4.31","2.94","1.37","1.37"
"Adlikon","21","5","Grüne","16","Wahlkreis XVI, Andelfingen","54","6.46","0.86","0","14","6.46","0.86","5.6","5.6"
"Adlikon","21","6","CVP","16","Wahlkreis XVI, Andelfingen","6","0.72","-0.03","0","2","0.72","-0.03","0.75","0.75"
"Adlikon","21","7","EVP","16","Wahlkreis XVI, Andelfingen","52","6.22","3.61","0","13","6.22","3.61","2.61","2.61"
"Adlikon","21","8","AL","16","Wahlkreis XVI, Andelfingen","7","0.84","-0.28","0","2","0.84","-0.28","1.12","1.12"
"Adlikon","21","9","BDP","16","Wahlkreis XVI, Andelfingen","45","5.38","-1.46","4","11","5.38","-1.46","6.84","6.84"
"Adlikon","21","10","EDU","16","Wahlkreis XVI, Andelfingen","23","2.75","-0.98","0","6","2.75","-0.98","3.73","3.73"
"Adliswil","131","1","SVP","9","Wahlkreis IX, Horgen","12410","26.28","-4.9","326","827","26.28","-4.9","31.18","31.18"
"Adliswil","131","2","SP","9","Wahlkreis IX, Horgen","9532","20.19","-0.11","172","635","20.19","-0.11","20.3","20.3"
"Adliswil","131","3","FDP","9","Wahlkreis IX, Horgen","7655","16.21","-1.81","117","510","16.21","-1.81","18.03","18.03"
"Adliswil","131","4","GLP","9","Wahlkreis IX, Horgen","4503","9.54","3.71","30","300","9.54","3.71","5.82","5.82"
"Adliswil","131","5","Grüne","9","Wahlkreis IX, Horgen","4212","8.92","3.85","15","281","8.92","3.85","5.07","5.07"
"Adliswil","131","6","CVP","9","Wahlkreis IX, Horgen","5565","11.79","2.38","106","371","11.79","2.38","9.41","9.41"
"Adliswil","131","7","EVP","9","Wahlkreis IX, Horgen","1901","4.03","0.05","32","127","4.03","0.05","3.98","3.98"
"Adliswil","131","8","AL","9","Wahlkreis IX, Horgen","490","1.04","-0.25","12","33","1.04","-0.25","1.29","1.29"
"Adliswil","131","9","BDP","9","Wahlkreis IX, Horgen","543","1.15","-2.01","12","36","1.15","-2.01","3.16","3.16"
"Adliswil","131","10","EDU","9","Wahlkreis IX, Horgen","409","0.87","-0.33","0","27","0.87","-0.33","1.2","1.2"
"Aesch","241","1","SVP","7","Wahlkreis VII, Dietikon","1615","33.22","-8.24","81","147","33.22","-8.24","41.46","41.46"
"Aesch","241","2","SP","7","Wahlkreis VII, Dietikon","588","12.09","0.11","1","53","12.09","0.11","11.99","11.99"
"Aesch","241","3","FDP","7","Wahlkreis VII, Dietikon","1012","20.81","-3.41","0","92","20.81","-3.41","24.23","24.23"
"Aesch","241","4","GLP","7","Wahlkreis VII, Dietikon","608","12.51","6.14","5","55","12.51","6.14","6.37","6.37"
"Aesch","241","5","Grüne","7","Wahlkreis VII, Dietikon","217","4.46","1.32","0","20","4.46","1.32","3.15","3.15"
"Aesch","241","6","CVP","7","Wahlkreis VII, Dietikon","558","11.48","5.08","20","51","11.48","5.08","6.39","6.39"
"Aesch","241","7","EVP","7","Wahlkreis VII, Dietikon","69","1.42","-0.2","0","6","1.42","-0.2","1.62","1.62"
"Aesch","241","8","AL","7","Wahlkreis VII, Dietikon","33","0.68","0.55","0","3","0.68","0.55","0.12","0.12"
