GEFIS_EINHEIT;GEBIETS_NAME;INDIKATOR_NAME;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990
845200P;Adlikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];1619;1176;1390;1192;1642;1621;1755;1536;1446;1167;1170;1039;1125;1239;1045;956;903;952;842;831;807;661;771;690;721;623;741;578;597;589
813400PS;Adliswil, Stadt;Steuerertrag [Fr./Einw.];5841;4501;5365;4609;4163;3856;3829;3436;3845;3460;3479;3334;2696;2526;2714;2783;2997;3400;3860;3438;2936;2770;2823;2932;2546;2685;2665;2455;2283;2294
890400P;Aesch, Politische Gemeinde;Steuerertrag [Fr./Einw.];1097;1310;1263;1306;1268;1373;1675;1345;1541;1352;1227;1264;1437;1455;1235;2102;1917;2565;1793;1655;1629;1128;1485;1306;1235;1124;1064;1037;914;844
891400PP;Aeugst a.A., Politische Gemeinde;Steuerertrag [Fr./Einw.];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
891400P;Aeugst a.A., Politische Gemeinde (bis 2020);Steuerertrag [Fr./Einw.];1702;1477;1497;1593;1652;1534;1480;1441;1408;1559;1531;1391;1500;1210;1620;1405;1515;1407;1531;1486;1894;1366;1683;1712;1800;1545;1674;1439;1427;1438
891000PP;Affoltern a.A., Stadt;Steuerertrag [Fr./Einw.];2368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
847900PP;Altikon, Politische Gemeinde;Steuerertrag [Fr./Einw.];1838;1759;1668;1754;1823;1736;1573;1495;1455;1553;1495;1651;1318;1349;1357;1132;1178;1173;;;;;;;;;;;;
845000P;Andelfingen, Politische Gemeinde;Steuerertrag [Fr./Einw.];1989;1805;1796;1407;1384;1547;1512;1661;1315;1634;1579;1683;1671;1565;1762;1785;1357;1945;1901;2063;1768;1365;1424;1432;1517;1382;1161;1206;1083;1155
818400P;Bachenbülach, Politische Gemeinde;Steuerertrag [Fr./Einw.];1201;1142;1153;1233;1056;934;895;992;926;975;901;791;734;680;705;824;719;792;683;790;848;709;790;857;831;881;658;634;517;459
816400P;Bachs, Politische Gemeinde;Steuerertrag [Fr./Einw.];973;988;801;686;622;667;559;621;1213;914;1138;949;1085;1058;1223;1015;953;832;785;716;868;637;587;573;540;589;473;439;400;412
834400PS;Bäretswil, Politische Gemeinde;Steuerertrag [Fr./Einw.];2647;2430;2259;2334;2215;2272;2337;2197;2286;2172;2316;2128;2113;2121;2089;1934;2059;;;;;;;;;;;;;
830300PS;Bassersdorf, Politische Gemeinde;Steuerertrag [Fr./Einw.];3089;2828;2927;2953;2818;2632;2890;2933;2913;2732;2762;2726;2488;;;;;;;;;;;;;;;;;
849401PS;Bauma, Politische Gemeinde;Steuerertrag [Fr./Einw.];2453;2196;2213;2135;2104;;;;;;;;;;;;;;;;;;;;;;;;;
846300P;Benken, Politische Gemeinde;Steuerertrag [Fr./Einw.];1395;1153;1147;1159;978;948;1008;895;1047;971;893;902;892;845;904;811;667;669;767;767;681;536;539;598;626;688;712;654;641;743
841500P;Berg a.I., Politische Gemeinde;Steuerertrag [Fr./Einw.];2102;2856;2932;2625;1059;1139;1320;1253;1603;1508;1821;1480;1428;1216;1091;890;1135;1120;833;963;846;671;642;638;594;639;516;727;786;742
890300P;Birmensdorf, Politische Gemeinde;Steuerertrag [Fr./Einw.];1367;1255;1332;1288;1278;1203;1335;1526;1692;1649;1618;1434;1420;1390;1376;1437;1502;1730;1603;1498;1509;1362;1508;1481;1500;1584;1563;1403;1214;1049
890600PP;Bonstetten, Politische Gemeinde;Steuerertrag [Fr./Einw.];2655;2514;2458;2453;;;;;;;;;;;;;;;;;;;;;;;;;;
