Alter,Geschlecht,Anzahl,index,%
28.0,w,1,0,0.4
32.0,w,1,0,0.4
33.0,w,1,0,0.4
34.0,w,1,0,0.4
37.0,w,2,0,0.7
38.0,w,1,0,0.4
39.0,w,3,0,1.1
40.0,w,3,0,1.1
41.0,w,3,0,1.1
42.0,w,6,0,2.2
43.0,w,3,0,1.1
44.0,w,5,0,1.8
45.0,w,8,0,2.9
46.0,w,2,0,0.7
47.0,w,6,0,2.2
48.0,w,8,0,2.9
49.0,w,8,0,2.9
50.0,w,13,0,4.7
51.0,w,10,0,3.6
52.0,w,14,0,5.1
53.0,w,11,0,4.0
54.0,w,15,0,5.4
55.0,w,20,0,7.2
56.0,w,11,0,4.0
57.0,w,13,0,4.7
58.0,w,12,0,4.3
59.0,w,13,0,4.7
60.0,w,10,0,3.6
61.0,w,20,0,7.2
62.0,w,10,0,3.6
63.0,w,14,0,5.1
64.0,w,6,0,2.2
65.0,w,5,0,1.8
66.0,w,4,0,1.4
67.0,w,3,0,1.1
68.0,w,4,0,1.4
69.0,w,2,0,0.7
70.0,w,1,0,0.4
71.0,w,1,0,0.4
74.0,w,1,0,0.4
75.0,w,1,0,0.4
